Parameter Value,Mean Accuracy,Std Accuracy
50,0.9760000000000002,0.002755675960631101
100,0.977,0.0032691742076555222
200,0.977125,0.003102418411497732
300,0.977125,0.0031274990007992176
500,0.9768749999999999,0.0032355447763862126
