Model,Accuracy,Precision,Recall,F1,Log Loss,ROC-AUC
Random Forest,0.979,0.8518518518518519,0.3770491803278688,0.5227272727272727,0.07604218426878667,0.9327564487356166
Gradient Boosting,0.977,0.7419354838709677,0.3770491803278688,0.5,0.0722094221417517,0.9505237616144878
MLP,0.976,0.6756756756756757,0.4098360655737705,0.5102040816326531,0.08733116418017885,0.9215160763956408
SVM,0.9695,0.0,0.0,0.0,0.09383215619203947,0.8838508949179482
KNN,0.974,0.7647058823529411,0.21311475409836064,0.3333333333333333,0.3868871040819326,0.8160197499133404
Stacking,0.979,0.7878787878787878,0.4262295081967213,0.5531914893617021,0.08221482226379465,0.9459075575545954
